run_key,provider,harness,agent_id,model,base_url,api_key_env_var,mode,audit_id,submission_exists,score,max_score,score_percentage,detect_award,detect_max_award,detect_award_percentage,agent_runtime_seconds,failure_reason,trajectory_manifest,expected_trajectory_count,found_trajectory_count,missing_trajectory_count,run_dir
codex--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen,openrouter,codex,codex-openrouter-v1,openrouter/owl-alpha,https://openrouter.ai/api/v1,OPENROUTER_API_KEY,patch,2023-10-nextgen,False,0.0,2.0,0.0,,,,,missing or empty submission/agent.diff,logs/codex/trajectory-manifest.json,1,1,0,/home/experiments_base/forestOfAudits/project/evmbench/runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/codex--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen/2026-05-15T15-58-29-GMT_run-group_codex-openrouter-v1_patch/2023-10-nextgen_8bbdba09-68a1-45d0-b248-e0b61b7e7632
codex--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild,openrouter,codex,codex-openrouter-v1,openrouter/owl-alpha,https://openrouter.ai/api/v1,OPENROUTER_API_KEY,patch,2023-12-ethereumcreditguild,True,0.0,2.0,0.0,,,,,,logs/codex/trajectory-manifest.json,1,1,0,/home/experiments_base/forestOfAudits/project/evmbench/runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/codex--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild/2026-05-15T15-59-41-GMT_run-group_codex-openrouter-v1_patch/2023-12-ethereumcreditguild_abb3ff6f-849e-43d7-bef4-2758d69bc8e4
codex--openrouter__owl-alpha-377195ae--patch--2024-05-olas,openrouter,codex,codex-openrouter-v1,openrouter/owl-alpha,https://openrouter.ai/api/v1,OPENROUTER_API_KEY,patch,2024-05-olas,False,0.0,1.0,0.0,,,,,missing or empty submission/agent.diff,logs/codex/trajectory-manifest.json,1,1,0,/home/experiments_base/forestOfAudits/project/evmbench/runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/codex--openrouter__owl-alpha-377195ae--patch--2024-05-olas/2026-05-15T16-53-17-GMT_run-group_codex-openrouter-v1_patch/2024-05-olas_2fc2e684-40cd-4557-80ed-9064462d2773
codex--openrouter__owl-alpha-377195ae--patch--2024-07-basin,openrouter,codex,codex-openrouter-v1,openrouter/owl-alpha,https://openrouter.ai/api/v1,OPENROUTER_API_KEY,patch,2024-07-basin,False,0.0,2.0,0.0,,,,,missing or empty submission/agent.diff,logs/codex/trajectory-manifest.json,1,1,0,/home/experiments_base/forestOfAudits/project/evmbench/runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/codex--openrouter__owl-alpha-377195ae--patch--2024-07-basin/2026-05-15T17-39-56-GMT_run-group_codex-openrouter-v1_patch/2024-07-basin_94c7929b-001c-4b5b-ac1f-51deddd4853a
opencode--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen,openrouter,opencode,opencode-openrouter-v1,openrouter/owl-alpha,https://openrouter.ai/api/v1,OPENROUTER_API_KEY,patch,2023-10-nextgen,False,0.0,2.0,0.0,,,,,missing or empty submission/agent.diff,logs/opencode/trajectory-manifest.json,1,1,0,/home/experiments_base/forestOfAudits/project/evmbench/runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/opencode--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen/2026-05-15T17-43-05-GMT_run-group_opencode-openrouter-v1_patch/2023-10-nextgen_21d10d10-d0c6-40d6-94a2-fe0bd1651a52
opencode--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild,openrouter,opencode,opencode-openrouter-v1,openrouter/owl-alpha,https://openrouter.ai/api/v1,OPENROUTER_API_KEY,patch,2023-12-ethereumcreditguild,False,0.0,2.0,0.0,,,,,missing or empty submission/agent.diff,logs/opencode/trajectory-manifest.json,1,1,0,/home/experiments_base/forestOfAudits/project/evmbench/runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/opencode--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild/2026-05-15T17-44-16-GMT_run-group_opencode-openrouter-v1_patch/2023-12-ethereumcreditguild_28dbbcdd-9131-4bfe-8464-f64ff9c72117
opencode--openrouter__owl-alpha-377195ae--patch--2024-05-olas,openrouter,opencode,opencode-openrouter-v1,openrouter/owl-alpha,https://openrouter.ai/api/v1,OPENROUTER_API_KEY,patch,2024-05-olas,False,0.0,1.0,0.0,,,,,missing or empty submission/agent.diff,logs/opencode/trajectory-manifest.json,1,1,0,/home/experiments_base/forestOfAudits/project/evmbench/runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/opencode--openrouter__owl-alpha-377195ae--patch--2024-05-olas/2026-05-15T17-45-34-GMT_run-group_opencode-openrouter-v1_patch/2024-05-olas_9288bb96-aceb-4a58-8eb7-bcf21b3772bd
opencode--openrouter__owl-alpha-377195ae--patch--2024-07-basin,openrouter,opencode,opencode-openrouter-v1,openrouter/owl-alpha,https://openrouter.ai/api/v1,OPENROUTER_API_KEY,patch,2024-07-basin,False,0.0,2.0,0.0,,,,,missing or empty submission/agent.diff,logs/opencode/trajectory-manifest.json,1,1,0,/home/experiments_base/forestOfAudits/project/evmbench/runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/opencode--openrouter__owl-alpha-377195ae--patch--2024-07-basin/2026-05-15T17-47-10-GMT_run-group_opencode-openrouter-v1_patch/2024-07-basin_1dfe21c3-8f50-4ad5-97dc-0ab99c657862
